Latitude, Longitude
42.09046478, -76.07809009
43.20713891, -77.73194787
43.02840656, -77.62671777
43.25932228, -77.69602434
43.1462821, -77.5592674
42.9329355, -76.5688695
43.0279826, -76.1487712
43.1306785, -77.6440143
43.19309166, -77.62685196
43.035234, -76.13928
43.035234, -76.13928
43.21397677, -77.66989039
43.10498584, -77.6085809
43.1462821, -77.5592673
43.0214004, -76.1532254
43.05125277, -76.23725218
42.07897995, -77.04699503
42.25519417, -77.78977265
42.59367185, -76.19272636
42.59479001, -76.19402201
43.16414903, -77.3416087
43.15944911, -77.59329728
43.14894605, -77.57630725
43.0855673, -77.6681389
42.59314206, -76.19262731
42.99678704, -78.20735316
43.2190717, -77.4739729
43.03722848, -77.70551827
43.04015913, -76.13428504
42.90436957, -76.7978518
42.255833, -77.788564
43.129501, -77.5985805
43.10486652, -77.61131857
42.44150182, -76.47852879
43.0748804, -76.12288993
42.79527604, -77.06526051
42.65655638, -77.04890335
42.85516174, -76.98265068
42.14001683, -77.05504928
43.20894537, -77.70312127
43.09437393, -77.61051133
43.2629731, -77.709909
43.0868314, -76.8803796
43.19265386, -77.58706263
43.15842333, -76.37143322
43.0855574, -77.6681817
43.06114744, -77.56341103
43.10453205, -77.60827322
43.0150054, -76.1531015
43.14739186, -77.75478492
43.0280142, -76.1488903
43.1861815, -77.616399
43.22857585, -77.72942738
42.23851317, -76.84356634
43.00560005, -76.20109398
43.02995889, -77.62775436
42.10549878, -76.26630966
43.04690474, -76.09030429
43.20366376, -77.49674891
43.1704222, -77.6575892
43.1364971, -77.750941
42.56407942, -77.14168101
43.0098254, -78.19537756
43.28021167, -77.91542685
43.10353812, -77.61086245
42.87252685, -77.24372527
43.13552954, -77.67746063
43.09099113, -77.64012076
42.59282066, -76.1928179
43.03635046, -76.12881971
43.01327705, -78.50383566
42.09638644, -76.81804717
43.0204752, -78.49816662
43.13395, -77.6524132
43.02151359, -76.12201219
43.10505433, -77.62433262
43.03875253, -76.12880571
43.19911008, -76.33466797
42.97757044, -77.99223194
43.01801354, -76.16183083
42.61334145, -76.82102907
43.1861815, -77.616399
43.13555668, -76.17660377
43.24313855, -77.64262548
43.20170686, -77.95290132
43.22567538, -77.54439855
42.2655783, -76.8343697
43.02980369, -76.08479979
42.59024945, -76.20016352
43.1333064, -76.2218074
43.2469326, -77.4045942
43.1582965, -77.5647448
43.2375491, -77.6506782
43.21914225, -77.72055854
43.10141176, -77.51966724
43.0150281, -76.1531028
43.20400295, -77.72477034
42.59423702, -76.19261642
42.01985608, -76.45197194
43.23072221, -77.91970994
42.59024945, -76.20016352
42.45383502, -76.47946508
43.16751815, -77.6510879
43.13529945, -77.60604755
43.0410372, -76.11951146
42.26043597, -77.78662808
43.212659, -77.572373
43.20687395, -77.66472184
43.21502293, -77.93850085
43.06876895, -77.65166035
42.09779722, -76.82036596
43.13801008, -77.64608935
42.08078824, -78.48234176
43.21138342, -77.9529883
42.12817558, -76.82769365
43.04319325, -76.10505671
43.09778685, -76.186178
42.1583572, -77.08865884
43.035234, -76.13928
43.22114387, -77.67173335
43.13528876, -77.60610025
43.00973686, -78.20492955
43.07481372, -76.12270553
42.97686593, -77.3432126
42.144674, -77.0575549
42.60676674, -76.16777023
43.17110124, -77.61088454
42.91922835, -76.71810262
43.19415777, -77.63433311
43.17541548, -77.46620789
43.20173269, -77.9529575
43.00973686, -78.20492955
42.59358603, -76.19262988
42.25463397, -77.79531539
43.1890153, -77.5958038
43.13589276, -76.13918681
43.04632617, -77.10287667
43.06136871, -77.63031871
43.1619084, -77.5866592
43.16741317, -77.65087291
43.05892502, -76.21664747
42.68025386, -76.86218041
42.0873809, -76.80887011
43.16877184, -77.60320469
43.10488754, -77.60890551
43.0841131, -76.17237593
43.0725308, -77.6274928
43.06925711, -77.59208162
43.16746671, -77.65108764
43.1451711, -77.6393348
43.18509437, -77.64570186
42.7477555, -76.6982598
43.19853019, -77.78876016
43.03549603, -76.13908041
43.1703972, -77.6577354
43.04360588, -76.12977633
43.1515332, -77.6988986
42.98448958, -76.34251876
43.10491109, -77.61177111
43.134042, -77.6524686
43.21992533, -77.40626341
43.24160156, -77.42421492
42.8662023, -77.0084665
43.1378168, -77.58940638
43.13541132, -77.45146651
43.08357649, -77.66906244
43.15624659, -77.60940482
43.22189926, -77.6717283
43.23996565, -77.62275041
43.11911395, -77.50470842
43.1703817, -77.6577214
43.15123186, -77.56956534
42.08502985, -76.8017572
43.2038219, -77.7064957
43.1475397, -77.594557
42.65638101, -77.04899296
